date,massif,risque1,evolurisque1,altitude,risque2,evolurisque2,risque_maxi,00_temps,00_mer_de_nuages,00_limite_pluie_neige,00_isotherme_0,00_isotherme_moins_10,00_altitude_vent_1,00_altitude_vent_2,00_direction_vent_altitude_1,00_vitesse_vent_altitude_1,00_direction_vent_altitude_2,00_vitesse_vent_altitude_2,06_temps,06_mer_de_nuages,06_limite_pluie_neige,06_isotherme_0,06_isotherme_moins_10,06_altitude_vent_1,06_altitude_vent_2,06_direction_vent_altitude_1,06_vitesse_vent_altitude_1,06_direction_vent_altitude_2,06_vitesse_vent_altitude_2,12_temps,12_mer_de_nuages,12_limite_pluie_neige,12_isotherme_0,12_isotherme_moins_10,12_altitude_vent_1,12_altitude_vent_2,12_direction_vent_altitude_1,12_vitesse_vent_altitude_1,12_direction_vent_altitude_2,12_vitesse_vent_altitude_2,precipitation_neige_veille_altitude,precipitation_neige_veille_epaisseur
2022-12-31,ANDORRE,1.0,3.0,2100.0,1.0,2.0,1.0,Peu nuageux,Non,Sans objet,3400,4800,2000,3000,S,10,W,40,Peu nuageux,Non,Sans objet,3400,4900,2000,3000,_,0,SW,40,Peu nuageux,Non,Sans objet,3400,5100,2000,3000,S,10,SW,60,1800,Pluie
2022-12-30,ANDORRE,1.0,3.0,2100.0,1.0,2.0,1.0,Très nuageux,Non,Sans objet,2200,4300,2000,3000,SW,10,W,60,Pluie faible / grésille,Non,2500,2700,4900,2000,3000,SW,10,W,70,Variable,Non,Sans objet,3200,4800,2000,3000,_,0,NW,60,1800,0
2022-12-29,ANDORRE,1.0,3.0,2100.0,1.0,2.0,1.0,Brume,Non,Sans objet,2200,4500,2000,3000,S,10,W,50,Variable,Non,Sans objet,2300,4300,2000,3000,_,0,W,30,Variable,Non,Sans objet,2400,4200,2000,3000,SW,10,W,40,1800,0
2022-12-28,ANDORRE,1.0,3.0,2500.0,2.0,2.0,2.0,Peu nuageux,Non,Sans objet,2800,4600,2000,3000,S,10,W,50,Beau temps,Non,Sans objet,2600,4300,2000,3000,S,10,W,60,Peu nuageux,Non,Sans objet,2400,4600,2000,3000,SW,10,W,50,1800,0
2022-12-27,ANDORRE,1.0,3.0,2500.0,2.0,2.0,2.0,Beau temps,Non,Sans objet,2800,4400,2000,3000,S,10,W,30,Beau temps,Non,Sans objet,2800,4400,2000,3000,_,0,W,40,Beau temps,Non,Sans objet,2400,4300,2000,3000,SW,10,W,50,1800,0
2022-12-26,ANDORRE,1.0,3.0,2400.0,2.0,2.0,2.0,Beau temps,Non,Sans objet,2900,4800,2000,3000,SW,20,SW,80,Peu nuageux,Non,Sans objet,2800,4500,2000,3000,SW,10,W,70,Beau temps,Non,Sans objet,2700,4600,2000,3000,SW,20,W,70,1800,0
2022-12-24,ANDORRE,1.0,3.0,2400.0,2.0,2.0,2.0,Peu nuageux,Non,Sans objet,3600,5100,2000,3000,_,0,W,70,Peu nuageux,Non,Sans objet,3400,5100,2000,3000,SW,10,W,70,Peu nuageux,Non,Sans objet,3400,4800,2000,3000,SW,10,W,70,1800,0
2022-12-23,ANDORRE,1.0,3.0,2400.0,2.0,2.0,2.0,Pluies éparses,Non,2900,3200,5000,2000,3000,NW,10,NW,60,Peu nuageux,Non,Sans objet,3300,4900,2000,3000,W,10,NW,60,Peu nuageux,Non,Sans objet,3400,4900,2000,3000,SW,10,W,60,1800,Pluie
2022-12-22,ANDORRE,1.0,3.0,2400.0,2.0,2.0,2.0,Brume,Non,Sans objet,2700,4600,2000,3000,N,10,NW,50,Peu nuageux,Non,Sans objet,3000,4700,2000,3000,_,0,NW,40,Beau temps,Non,Sans objet,2700,4800,2000,3000,W,10,NW,40,1800,0
2022-12-21,ANDORRE,2.0,3.0,2400.0,2.0,2.0,2.0,Pluies éparses,Non,2100,2600,4200,2000,3000,SE,10,W,50,Peu nuageux,Non,Sans objet,2500,4300,2000,3000,_,0,NW,20,Peu nuageux,Non,Sans objet,2800,4400,2000,3000,_,0,W,20,1800,Pluie
2022-12-20,ANDORRE,1.0,3.0,2400.0,2.0,2.0,2.0,Peu nuageux,Non,Sans objet,3400,5100,2000,3000,S,10,SW,40,Brume,Non,Sans objet,3400,5000,2000,3000,S,10,SW,50,Beau temps,Non,Sans objet,3300,4900,2000,3000,S,20,SW,80,1800,0
2022-12-19,ANDORRE,1.0,3.0,2400.0,2.0,2.0,2.0,Beau temps,Non,Sans objet,3700,5100,2000,3000,_,0,SW,20,Peu nuageux,Non,Sans objet,3800,5200,2000,3000,S,10,SW,40,Peu nuageux,Non,Sans objet,3800,5400,2000,3000,S,10,SW,50,1800,0
2022-12-18,ANDORRE,1.0,3.0,2400.0,2.0,2.0,2.0,Beau temps,Non,Sans objet,2400,4000,2000,3000,SE,10,W,20,Beau temps,Non,Sans objet,2400,4900,2000,3000,S,10,W,20,Brume,Non,Sans objet,3400,5100,2000,3000,SW,10,W,20,1800,0
2022-12-17,ANDORRE,1.0,3.0,2100.0,2.0,2.0,2.0,Beau temps,Non,Sans objet,2000,3700,2000,3000,_,0,W,10,Peu nuageux,Non,Sans objet,2200,3900,2000,3000,_,0,NW,10,Beau temps,Non,Sans objet,2400,3900,2000,3000,_,0,_,0,1800,0
