date,massif,risque1,evolurisque1,altitude,risque2,evolurisque2,risque_maxi,00_temps,00_mer_de_nuages,00_limite_pluie_neige,00_isotherme_0,00_isotherme_moins_10,00_altitude_vent_1,00_altitude_vent_2,00_direction_vent_altitude_1,00_vitesse_vent_altitude_1,00_direction_vent_altitude_2,00_vitesse_vent_altitude_2,06_temps,06_mer_de_nuages,06_limite_pluie_neige,06_isotherme_0,06_isotherme_moins_10,06_altitude_vent_1,06_altitude_vent_2,06_direction_vent_altitude_1,06_vitesse_vent_altitude_1,06_direction_vent_altitude_2,06_vitesse_vent_altitude_2,12_temps,12_mer_de_nuages,12_limite_pluie_neige,12_isotherme_0,12_isotherme_moins_10,12_altitude_vent_1,12_altitude_vent_2,12_direction_vent_altitude_1,12_vitesse_vent_altitude_1,12_direction_vent_altitude_2,12_vitesse_vent_altitude_2,precipitation_neige_veille_altitude,precipitation_neige_veille_epaisseur
2022-12-31,AURE-LOURON,1.0,2.0,2200.0,1.0,,1.0,Peu nuageux,Non,Sans objet,3200,4700,1500,3000,SW,20,W,60,Peu nuageux,Non,Sans objet,3300,4900,1500,3000,SW,70,SW,80,Très nuageux,Non,Sans objet,3300,5300,1500,3000,NW,80,SW,90,1800,0
2022-12-30,AURE-LOURON,1.0,2.0,2200.0,1.0,,1.0,Variable,Non,Sans objet,2400,4300,1500,3000,SW,10,W,70,Pluies éparses,Non,2500,2700,4800,1500,3000,SW,10,W,70,Brume,Non,Sans objet,3000,4700,1500,3000,W,10,W,60,1800,0
2022-12-29,AURE-LOURON,1.0,2.0,2500.0,2.0,,2.0,Eclaircies,Non,Sans objet,2500,4300,1500,3000,SW,10,W,50,Variable,Non,Sans objet,2200,4200,1500,3000,_,0,W,30,Très nuageux,Non,Sans objet,2400,3900,1500,3000,_,0,W,40,1800,0
2022-12-28,AURE-LOURON,1.0,2.0,2500.0,2.0,,2.0,Eclaircies,Non,Sans objet,2800,4500,1500,3000,_,0,SW,60,Peu nuageux,Non,Sans objet,3000,4400,1500,3000,SW,10,SW,50,Beau temps,Non,Sans objet,3100,4600,1500,3000,SW,10,W,50,1800,0
2022-12-27,AURE-LOURON,1.0,2.0,2500.0,2.0,,2.0,Eclaircies,Non,Sans objet,2600,4300,1500,3000,SE,10,W,30,Eclaircies,Non,Sans objet,2600,4300,1500,3000,_,0,W,40,Eclaircies,Non,Sans objet,2400,4300,1500,3000,_,0,W,40,1800,0
2022-12-26,AURE-LOURON,1.0,2.0,2500.0,2.0,,2.0,Beau temps,Non,Sans objet,2900,4700,1500,3000,SW,40,SW,80,Beau temps,Non,Sans objet,2700,4500,1500,3000,SW,10,SW,70,Peu nuageux,Non,Sans objet,2700,4500,1500,3000,SW,20,SW,60,1800,0
2022-12-24,AURE-LOURON,1.0,2.0,2500.0,2.0,,2.0,Brume,Non,Sans objet,3400,5100,1500,3000,_,0,W,70,Eclaircies,Non,Sans objet,3500,5000,1500,3000,_,0,W,70,Peu nuageux,Non,Sans objet,3300,4800,1500,3000,SW,10,W,60,1800,0
2022-12-23,AURE-LOURON,1.0,2.0,2400.0,2.0,,2.0,Peu nuageux,Non,Sans objet,3200,4800,1500,3000,S,10,NW,70,Peu nuageux,Non,Sans objet,3400,4800,1500,3000,_,0,W,50,Beau temps,Non,Sans objet,3400,4900,1500,3000,W,10,W,70,1800,Absence de données
2022-12-22,AURE-LOURON,1.0,2.0,2400.0,2.0,,2.0,Variable,Non,Sans objet,2800,4600,1500,3000,_,0,NW,60,Eclaircies,Non,Sans objet,2600,4700,1500,3000,S,10,W,50,Variable,Non,Sans objet,2700,4900,1500,3000,_,0,W,50,1800,Pluie
2022-12-21,AURE-LOURON,1.0,2.0,2400.0,2.0,,2.0,Très nuageux,Non,Sans objet,2400,4000,1500,3000,N,10,W,30,Eclaircies,Non,Sans objet,2300,4500,1500,3000,SE,10,W,30,Peu nuageux,Non,Sans objet,2600,4200,1500,3000,_,0,W,40,1800,Pluie
