date,massif,risque1,evolurisque1,altitude,risque2,evolurisque2,risque_maxi,00_temps,00_mer_de_nuages,00_limite_pluie_neige,00_isotherme_0,00_isotherme_moins_10,00_altitude_vent_1,00_altitude_vent_2,00_direction_vent_altitude_1,00_vitesse_vent_altitude_1,00_direction_vent_altitude_2,00_vitesse_vent_altitude_2,06_temps,06_mer_de_nuages,06_limite_pluie_neige,06_isotherme_0,06_isotherme_moins_10,06_altitude_vent_1,06_altitude_vent_2,06_direction_vent_altitude_1,06_vitesse_vent_altitude_1,06_direction_vent_altitude_2,06_vitesse_vent_altitude_2,12_temps,12_mer_de_nuages,12_limite_pluie_neige,12_isotherme_0,12_isotherme_moins_10,12_altitude_vent_1,12_altitude_vent_2,12_direction_vent_altitude_1,12_vitesse_vent_altitude_1,12_direction_vent_altitude_2,12_vitesse_vent_altitude_2,precipitation_neige_veille_altitude,precipitation_neige_veille_epaisseur
2022-12-31,CERDAGNE-CANIGOU,1.0,3.0,2000.0,1.0,3.0,1.0,Peu nuageux,Non,Sans objet,3400,4800,2000,3000,SW,10,W,30,Peu nuageux,Non,Sans objet,3600,4900,2000,3000,SW,10,SW,30,Peu nuageux,Non,Sans objet,3700,5000,2000,3000,SW,30,SW,60,1800,0
2022-12-30,CERDAGNE-CANIGOU,1.0,3.0,2000.0,1.0,3.0,1.0,Très nuageux,Non,Sans objet,2600,4200,2000,3000,SW,10,W,50,Variable,Non,Sans objet,2900,4900,2000,3000,W,20,W,60,Variable,Non,Sans objet,3200,4800,2000,3000,NW,10,NW,60,1800,0
2022-12-29,CERDAGNE-CANIGOU,1.0,3.0,2000.0,1.0,3.0,1.0,Peu nuageux,Non,Sans objet,2700,4500,2000,3000,W,10,W,50,Peu nuageux,Non,Sans objet,2600,4200,2000,3000,_,0,W,30,Variable,Non,Sans objet,2500,4300,2000,3000,_,0,W,30,1800,0
2022-12-28,CERDAGNE-CANIGOU,1.0,3.0,2000.0,1.0,3.0,1.0,Beau temps,Non,Sans objet,2800,4600,2000,3000,_,0,W,40,Beau temps,Non,Sans objet,3000,4400,2000,3000,W,20,W,50,Peu nuageux,Non,Sans objet,3000,4500,2000,3000,W,20,NW,30,1800,0
2022-12-27,CERDAGNE-CANIGOU,1.0,3.0,2000.0,1.0,3.0,1.0,Beau temps,Non,Sans objet,2800,4500,2000,3000,NW,10,W,40,Beau temps,Non,Sans objet,2800,4400,2000,3000,_,0,W,40,Beau temps,Non,Sans objet,2600,4400,2000,3000,NW,10,W,50,1800,0
2022-12-26,CERDAGNE-CANIGOU,1.0,3.0,2000.0,1.0,3.0,1.0,Beau temps,Non,Sans objet,3200,4900,2000,3000,W,20,SW,90,Peu nuageux,Non,Sans objet,3000,4700,2000,3000,W,30,W,60,Beau temps,Non,Sans objet,2800,4700,2000,3000,W,20,W,70,1800,0
2022-12-24,CERDAGNE-CANIGOU,1.0,3.0,2000.0,1.0,3.0,1.0,Peu nuageux,Non,Sans objet,3600,5100,2000,3000,_,0,W,60,Peu nuageux,Non,Sans objet,3600,5100,2000,3000,W,10,W,70,Peu nuageux,Non,Sans objet,3600,5000,2000,3000,W,20,W,70,1800,0
2022-12-23,CERDAGNE-CANIGOU,1.0,3.0,2000.0,1.0,3.0,1.0,Peu nuageux,Non,Sans objet,3000,5000,2000,3000,NW,20,NW,70,Peu nuageux,Non,Sans objet,3300,4900,2000,3000,NW,10,NW,70,Peu nuageux,Non,Sans objet,3400,4900,2000,3000,W,10,W,60,1800,0
2022-12-22,CERDAGNE-CANIGOU,1.0,3.0,2000.0,1.0,3.0,1.0,Brume,Non,Sans objet,2500,4600,2000,3000,NW,10,NW,50,Peu nuageux,Non,Sans objet,2800,4700,2000,3000,W,10,NW,50,Beau temps,Non,Sans objet,2600,4700,2000,3000,NW,10,W,40,1800,0
2022-12-21,CERDAGNE-CANIGOU,1.0,3.0,2000.0,1.0,3.0,1.0,Peu nuageux,Non,Sans objet,2800,4400,2000,3000,NW,10,W,30,Peu nuageux,Non,Sans objet,2400,4200,2000,3000,_,0,W,20,Peu nuageux,Non,Sans objet,2600,4400,2000,3000,N,10,W,20,1800,0
2022-12-20,CERDAGNE-CANIGOU,1.0,3.0,2000.0,1.0,3.0,1.0,Peu nuageux,Non,Sans objet,3800,5100,2000,3000,W,20,W,30,Brume,Non,Sans objet,3800,5000,2000,3000,W,20,W,50,Brume,Non,Sans objet,3600,5000,2000,3000,SW,20,SW,60,1800,0
2022-12-19,CERDAGNE-CANIGOU,1.0,3.0,2000.0,1.0,3.0,1.0,Beau temps,Non,Sans objet,3800,5100,2000,3000,_,0,SW,10,Peu nuageux,Non,Sans objet,3800,5100,2000,3000,SW,10,SW,20,Peu nuageux,Non,Sans objet,4000,5200,2000,3000,W,20,W,30,1800,0
2022-12-18,CERDAGNE-CANIGOU,1.0,3.0,2000.0,1.0,3.0,1.0,Beau temps,Non,Sans objet,2400,4000,2000,3000,_,0,W,10,Beau temps,Non,Sans objet,2600,4800,2000,3000,S,10,W,20,Brume,Non,Sans objet,3400,5200,2000,3000,_,0,W,20,1800,0
2022-12-17,CERDAGNE-CANIGOU,1.0,3.0,2000.0,1.0,3.0,1.0,Pluie faible / grésille,Non,1700,2000,3700,2000,3000,_,0,NW,10,Peu nuageux,Non,Sans objet,2100,3900,2000,3000,_,0,NW,20,Beau temps,Non,Sans objet,2400,3900,2000,3000,_,0,N,10,1800,0
