date,massif,risque1,evolurisque1,altitude,risque2,evolurisque2,risque_maxi,00_temps,00_mer_de_nuages,00_limite_pluie_neige,00_isotherme_0,00_isotherme_moins_10,00_altitude_vent_1,00_altitude_vent_2,00_direction_vent_altitude_1,00_vitesse_vent_altitude_1,00_direction_vent_altitude_2,00_vitesse_vent_altitude_2,06_temps,06_mer_de_nuages,06_limite_pluie_neige,06_isotherme_0,06_isotherme_moins_10,06_altitude_vent_1,06_altitude_vent_2,06_direction_vent_altitude_1,06_vitesse_vent_altitude_1,06_direction_vent_altitude_2,06_vitesse_vent_altitude_2,12_temps,12_mer_de_nuages,12_limite_pluie_neige,12_isotherme_0,12_isotherme_moins_10,12_altitude_vent_1,12_altitude_vent_2,12_direction_vent_altitude_1,12_vitesse_vent_altitude_1,12_direction_vent_altitude_2,12_vitesse_vent_altitude_2,precipitation_neige_veille_altitude,precipitation_neige_veille_epaisseur
2022-12-31,COUSERANS,1.0,2.0,2200.0,1.0,3.0,1.0,Peu nuageux,Non,Sans objet,3500,4800,2000,3000,SW,20,W,30,Peu nuageux,Non,Sans objet,3500,4800,2000,3000,SW,50,W,20,Peu nuageux,Non,Sans objet,4000,5100,2000,3000,SW,30,SW,80,1800,0
2022-12-30,COUSERANS,1.0,2.0,2200.0,1.0,3.0,1.0,Variable,Non,Sans objet,2600,4200,2000,3000,SW,30,W,60,Pluie faible / grésille,Non,2600,2800,4800,2000,3000,SW,30,W,60,Brume,Non,Sans objet,3100,4700,2000,3000,W,30,NW,60,1800,0
2022-12-29,COUSERANS,1.0,2.0,2200.0,1.0,3.0,1.0,Beau temps,Non,Sans objet,2400,4400,2000,3000,SW,10,W,40,Variable,Non,Sans objet,2400,4300,2000,3000,_,0,W,20,Variable,Non,Sans objet,2400,4100,2000,3000,SW,10,W,40,1800,0
2022-12-28,COUSERANS,1.0,2.0,2500.0,2.0,3.0,2.0,Variable,Non,Sans objet,2800,4600,2000,3000,SW,10,W,30,Peu nuageux,Non,Sans objet,2900,4200,2000,3000,SW,30,W,40,Beau temps,Non,Sans objet,2800,4600,2000,3000,SW,10,W,40,1800,0
2022-12-27,COUSERANS,1.0,2.0,2500.0,2.0,3.0,2.0,Beau temps,Non,Sans objet,2600,4400,2000,3000,_,0,W,20,Beau temps,Non,Sans objet,2600,4400,2000,3000,_,0,W,30,Beau temps,Non,Sans objet,2400,4300,2000,3000,W,10,W,30,1800,0
2022-12-26,COUSERANS,1.0,2.0,2400.0,2.0,3.0,2.0,Peu nuageux,Non,Sans objet,3100,4700,2000,3000,SW,30,SW,80,Peu nuageux,Non,Sans objet,3000,4500,2000,3000,SW,30,W,70,Beau temps,Non,Sans objet,2800,4600,2000,3000,SW,30,W,70,1800,0
2022-12-24,COUSERANS,1.0,2.0,2400.0,2.0,3.0,2.0,Brume,Non,Sans objet,3400,5100,2000,3000,SW,10,W,60,Peu nuageux,Non,Sans objet,3500,5100,2000,3000,_,0,W,60,Peu nuageux,Non,Sans objet,3400,4900,2000,3000,SW,20,W,50,1800,0
2022-12-23,COUSERANS,2.0,2.0,2400.0,2.0,3.0,2.0,Pluies éparses,Non,2700,3000,4800,2000,3000,W,30,NW,70,Peu nuageux,Non,Sans objet,3200,4800,2000,3000,W,30,W,70,Beau temps,Non,Sans objet,3400,4900,2000,3000,W,20,W,60,1800,Pluie
2022-12-22,COUSERANS,1.0,2.0,2400.0,2.0,3.0,2.0,Pluies éparses,Non,2400,2500,4600,2000,3000,W,30,NW,60,Variable,Non,Sans objet,2800,4700,2000,3000,W,20,NW,50,Variable,Non,Sans objet,2500,4800,2000,3000,NW,20,NW,60,1800,Pluie
2022-12-21,COUSERANS,2.0,2.0,2400.0,2.0,3.0,2.0,Pluies éparses,Non,2100,2400,4100,2000,3000,NW,10,W,20,Peu nuageux,Non,Sans objet,2300,4400,2000,3000,_,0,NW,30,Peu nuageux,Non,Sans objet,2600,4300,2000,3000,_,0,W,30,1800,Pluie
